,adult,belongs_to_collection,budget,genres,homepage,id,imdbId,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
1818,False,,1250000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,143,tt0020629,en,All Quiet on the Western Front,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.",15.235056,/9gn5ce3B2vOpk9pOGeUjmFecIo5.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-04-29,0.0,133.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,They left for war as boys never to return as men.,All Quiet on the Western Front,False,7.5,166.0
1819,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",,42861,tt0021746,en,Cimarron,"When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.",1.133556,/o5TfT5lgfEfuf25S5kPG92dd8jm.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-02-09,0.0,123.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Terrific as all creation!,Cimarron,False,5.1,22.0
1820,False,,700000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,33680,tt0022958,en,Grand Hotel,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.",11.118844,/2j7dxqIlGHdTaaUW9s4Z5zfp9qS.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-05-25,2594000.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Thank The Stars For A Great Entertainment !,Grand Hotel,False,6.5,67.0
1821,False,,1180280,"[{'id': 18, 'name': 'Drama'}]",,56164,tt0023876,en,Cavalcade,"A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War.",1.196324,/uVmkQoxPlF8Vvx2TrLOrF08STNH.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-02-08,7630000.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,THE PICTURE OF THE GENERATION!,Cavalcade,False,4.6,17.0
1901,False,,92620000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,19,tt0017136,de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867,/qriaeUUwdmlgethK3aSAx68mG05.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universum Film (UFA)', 'id': 12372}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1927-01-10,650422.0,153.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,False,8.0,666.0
1993,False,,4986,"[{'id': 16, 'name': 'Animation'}]",,53565,tt0019422,en,Steamboat Willie,"Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck.",3.394625,/tJev6cNihRzUHYvUl113gO715TF.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Celebrity Productions', 'id': 3197}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-11-18,0.0,8.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Steamboat Willie,False,7.4,76.0
2103,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,8208,tt0025452,en,The Man Who Knew Too Much,"A man and his wife receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.",7.294135,/AvOa83nHSNJBpOPK0IJLz01r0c6.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1934-11-30,0.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Public Enemy No. 1 of all the world...,The Man Who Knew Too Much,False,6.4,73.0
2104,False,,0,[],,52907,tt0024747,en,Waltzes from Vienna,The story of Johann Strauss the elder and younger.,0.751957,/jnXsVjBSfcgRxFOmxZpbwCe2Mrg.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1934-01-31,0.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Waltzes from Vienna,False,4.8,11.0
2105,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,15007,tt0023285,en,Number Seventeen,"A gang of thieves gather at a safe house following a robbery, but a detective is on their trail.",1.962002,/quGnSVNAmuXNCQAZepRyrd89Coo.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1932-07-18,0.0,63.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Number Seventeen,False,5.3,19.0
2106,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,36049,tt0023395,en,Rich and Strange,"A couple, Fred (Henry Kendall) and Emily Hill (Joan Barry) , living a mundane middle-class life in London, are given a small fortune by an uncle as an advance against their future inheritance so that they can enjoy it in the present. Immediately Fred takes leave from his job as a clerk and they leave on a cruise for ""the Orient"". Fred quickly shows his susceptibility to sea-sickness while crossing",1.581063,/eDMrDdi85s2kHU1tBR5jS5lStkb.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1931-12-10,0.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Rich and Strange,False,5.5,16.0
2107,False,,0,"[{'id': 18, 'name': 'Drama'}]",,52748,tt0022395,en,The Skin Game,An old traditional family and a modern family battle over land in a small English village and almost destroy each other.,1.775534,/oIAqrTSB42jWNlbW8Q5SLYwhO4Z.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1931-02-26,0.0,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Skin Game,False,4.9,15.0
2108,False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",,75793,tt0020852,en,Elstree Calling,"A series of 19 musical and comedy ""vaudeville"" sketches presented in the form of a live broadcast hosted by Tommy Handley (as himself). There are two ""running gags"" which connect the sketches. In one, an actor wants to perform Shakespeare, but he is continually denied air-time. The other gag has an inventor trying to view the broadcast on television.",1.453276,/lEcipqsopVzxviueMscA0BHBiul.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1930-02-01,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Elstree Calling,False,3.8,2.0
2109,False,,0,"[{'id': 18, 'name': 'Drama'}]",,47695,tt0021015,en,Juno and the Paycock,"During the Irish revolution, a family earns a big inheritance. They start leading a rich life forgetting what the most important values of are. At the end, they discover they will not receive that inheritance; the family is destroyed and penniless. They must sell their home and start living like vagabonds.",1.783776,/lGsScGu3pktbddUApGfLp0m6I9G.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1930-06-29,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Juno and the Paycock,False,5.1,11.0
2110,False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,31930,tt0021165,en,Murder!,"When a woman is convicted of murder, one of the jurors selected to serve on the murder-trial jury believes the accused, an aspiring actress, is innocent of the crime and takes it upon himself to apprehend the real killer.",1.988389,/xnxsea6yRsLYaE69sPy69fjhDbi.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1930-07-31,0.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Murder!,False,6.3,19.0
2111,False,,0,"[{'id': 18, 'name': 'Drama'}]",,20213,tt0020142,en,The Manxman,A fisherman and a rising lawyer who grew up as brothers fall in love with the same woman.,1.680545,/6cpyL7msoojckIUmGPXkj7PPWJe.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-01-21,0.0,100.0,[],Released,,The Manxman,False,5.4,13.0
2112,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,543,tt0019702,en,Blackmail,"Alice's boyfriend Frank is a Scotland Yard detective who seems more interested in police work than in her. When she agrees to go out with another man, he attacks her and she defends herself and kills him. When the body is discovered, Frank is assigned to the case. He quickly discovers that Alice is the killer, but so has someone else, and they are threatening blackmail.",3.956703,/u27rAiqJ305y6a4pUnW7cACQT0h.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-06-30,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,See and Hear It - Our Mother Tongue As It Should Be Spoken,Blackmail,False,6.8,45.0
2113,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,36054,tt0018756,en,Champagne,"Betty, rebellious daughter of a millionaire, decides to marry the pennyless Jean, against her father's will. She runs away to France and she starts living a life of luxury on the profits from her father's business. The rich man decides to put a stop to her behavior pretending his business crashed. Betty now has to find money by herself and she gets a job in a night club.",0.560815,/uQ4J0umdET3WHPHd6VsDpIoddnx.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1928-08-19,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Champagne,False,5.6,13.0
2115,False,,0,"[{'id': 18, 'name': 'Drama'}]",,52782,tt0017825,en,Downhill,"After public school student Roddy Berwick takes the blame for a friend's transgression and is expelled, his life goes downhill.",1.646779,/p3ZTJIjcl1jBzlXfrmQXFbjvtCy.jpg,"[{'name': 'Gainsborough Pictures', 'id': 1221}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1927-10-24,0.0,110.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Downhill,False,6.3,11.0
2116,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,36055,tt0017843,en,Easy Virtue,"Larita Filton is named as correspondent in a scandalous divorce case. She escapes to France to rebuild her life where she meets John Whittaker. They are later married, but John's well-to-do family finds out Larita's secret.",0.957802,/blrQSfCOBJAKxWptjRnVI3AYvH2.jpg,"[{'name': 'Gainsborough Pictures', 'id': 1221}]",[],1928-03-05,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Easy Virtue,False,5.4,15.0
2117,False,,0,"[{'id': 18, 'name': 'Drama'}]",,36056,tt0018328,en,The Ring,"Both Jack Sander and Bob Corby are boxers in love with Mabel. Jack and Mabel wed, but their marriage is flat. The young wife looks to Bob for comfort.",1.986461,/gQRoIfnyWbBtMjLqbDY0wPulBfX.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1927-10-01,0.0,116.0,[],Released,Two boxers compete for the love of a woman.,The Ring,False,6.1,16.0
2118,False,,12000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,2760,tt0017075,en,The Lodger: A Story of the London Fog,A London landlady suspects her mysterious new lodger may be The Avenger who is killing blonde women.,9.299853,/feCIblDiTU1L2uWTi3rtYw6Nzyz.jpg,"[{'name': 'Carlyle Blackwell Productions', 'id': 1222}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1927-02-14,0.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Lodger: A Story of the London Fog,False,7.2,49.0
2119,False,,0,"[{'id': 18, 'name': 'Drama'}]",,64398,tt0016230,de,The Pleasure Garden,"Patsy Brand is a chorus girl at the Pleasure Garden music hall. She meets Jill Cheyne who is down on her luck and gets her a job as a dancer. Jill meets adventurer Hugh Fielding and they get engaged, but when Hugh travels out of the country, she begins to play around.",0.753073,/kxYHrcru3l0vpEraoJGBRPCunXP.jpg,"[{'name': 'Gainsborough Pictures', 'id': 1221}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Münchner Lichtspielkunst', 'id': 29577}]",[],1925-11-03,0.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Pleasure Garden,False,5.7,10.0
2253,False,"{'id': 135495, 'name': 'King Kong (1933 series)', 'poster_path': '/pM9K6M8wZNypSEXoi2TaeXGpcHu.jpg', 'backdrop_path': None}",672000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,244,tt0024216,en,King Kong,An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.,8.73274,/vXInYahVp31uL8wZORckaoHq565.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-04-07,10000000.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Monster of Creation's Dawn Breaks Loose in Our World Today!,King Kong,False,7.7,346.0
2519,False,"{'id': 221544, 'name': 'The Mummy (Universal Series)', 'poster_path': '/AvNgVQAVU7glcRawxyXnyHMPPbk.jpg', 'backdrop_path': '/9Hurk1iwEE3USJpBe48FChOSROC.jpg'}",196000,"[{'id': 27, 'name': 'Horror'}]",,15849,tt0023245,en,The Mummy,"An ancient Egyptian priest called Imhotep is revived when an archaeological expedition finds his mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep, escaping from the field site, goes in search for the reincarnation of the soul of his lover.",12.190044,/wg3QJlByvMCAC8dKIAXO63FXanD.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-12-22,0.0,73.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,It comes to life!,The Mummy,False,6.9,121.0
2530,False,"{'id': 221539, 'name': 'Dracula (Universal Series)', 'poster_path': '/srgkikGqQD32mhaq8wT6Qz2eLcD.jpg', 'backdrop_path': '/sdbStuQ5qEPZqqWUlNlBd0dPtBT.jpg'}",355000,"[{'id': 27, 'name': 'Horror'}]",,138,tt0021814,en,Dracula,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,7.503126,/hA9kQrIwDHJKl1pt8GpJdDnBzim.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-02-12,1012189.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,The story of the strangest passion the world has ever known!,Dracula,False,7.2,254.0
2533,False,"{'id': 218406, 'name': 'Frankenstein (Universal Series)', 'poster_path': '/2PJYpPHOqnVMXelHV1T4t6zra4i.jpg', 'backdrop_path': '/oR3GHwhvOcjn124b7wOZl9SHh8G.jpg'}",291000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,3035,tt0021884,en,Frankenstein,Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,8.091603,/wB58wlBAr6484Wm6VyFDqSD8VOJ.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-11-21,12000000.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The man who made a monster.,Frankenstein,False,7.3,295.0
2662,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,38715,tt0015693,en,Cobra,An impoverished Italian nobleman (Rudolph Valentino) takes a job with a New York antique dealer and falls in love with the secretary. Complications arise when he makes a date with the antique dealer's wife who mysteriously is murdered at the appointed meeting place.,0.220388,/aD4vpXaTyedDgxhQXpnuzbJPMPF.jpg,"[{'name': 'Ritz-Carlton Pictures', 'id': 31062}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1925-01-02,0.0,70.0,[],Released,,Cobra,False,6.7,3.0
2706,False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",,53761,tt0010418,en,Male and Female,"Gloria Swanson plays a spoiled maiden who always gets her way until shipwrecked with her butler, then learns which qualities are really admirable in a person.",1.175646,/uVCT5kpdx1YiT432rKbvVZaOXIx.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1919-11-23,0.0,116.0,[],Released,,Male and Female,False,5.0,1.0
